customer_id,tenure_months,monthly_charges,total_charges,contract_type,internet_service,support_calls,is_active,signup_date,churn
CUST-000000,3,116.4,327.11,two-year,dsl,2,true,2024-11-23,0
CUST-000001,54,24.13,1191.03,two-year,dsl,3,true,2023-01-28,0
CUST-000002,69,74.54,4975.49,two-year,none,4,true,2023-01-07,0
CUST-000003,54,64.23,3202.47,month-to-month,none,5,false,2024-01-25,0
CUST-000004,33,124.93,4161.69,one-year,none,8,false,2024-01-23,0
CUST-000005,46,95.06,4397.62,one-year,none,0,true,2025-03-02,0
CUST-000006,12,69.42,806.39,month-to-month,dsl,5,true,2023-12-30,0
CUST-000007,9,99.19,826.36,one-year,none,3,true,2024-01-24,0
CUST-000008,71,48.55,3270.02,two-year,none,0,true,2023-02-02,0
CUST-000009,8,47.43,395.16,one-year,fiber,5,true,2024-05-26,0
CUST-000010,18,54.43,918.01,two-year,fiber,8,true,2025-02-03,0
CUST-000011,46,48.51,2342.21,two-year,fiber,8,true,2025-02-12,0
CUST-000012,20,122.97,2369.2,month-to-month,dsl,1,true,2024-09-02,0
CUST-000013,70,131.9,8325.6,two-year,fiber,1,true,2024-07-03,0
CUST-000014,14,58.16,752.13,two-year,fiber,0,true,2025-06-15,0
CUST-000015,64,138.64,9144.28,two-year,dsl,4,true,2024-06-03,0
CUST-000016,20,90.12,1832.67,month-to-month,fiber,8,true,2024-09-05,1
CUST-000017,46,134.23,6327.4,month-to-month,dsl,4,true,2023-09-04,0
CUST-000018,62,126.08,8181.99,month-to-month,dsl,8,true,2023-05-12,0
CUST-000019,33,88.6,2897.45,two-year,dsl,3,true,2025-02-12,0
CUST-000020,39,71.87,2805.04,month-to-month,none,5,true,2024-06-13,0
CUST-000021,8,63.95,505.59,month-to-month,dsl,3,true,2023-01-08,0
CUST-000022,29,28.76,754.57,two-year,dsl,5,false,2023-09-01,0
CUST-000023,69,37.2,2670.31,one-year,dsl,9,true,2023-09-06,0
CUST-000024,12,32.6,377.37,one-year,dsl,6,true,2025-06-03,0
CUST-000025,12,27.88,337.65,two-year,none,1,true,2023-07-14,0
CUST-000026,23,56.21,1211.99,month-to-month,fiber,1,true,2025-06-01,0
CUST-000027,69,128.68,9281.57,month-to-month,dsl,3,true,2024-05-12,0
CUST-000028,21,69.27,1524.2,one-year,dsl,4,true,2025-03-14,0
CUST-000029,71,106.04,7325.57,one-year,none,3,true,2023-03-01,0
CUST-000030,40,27.43,1083.62,two-year,dsl,8,true,2024-06-27,0
CUST-000031,23,28.91,605.22,two-year,dsl,3,true,2024-08-06,0
CUST-000032,10,74.5,735.73,two-year,dsl,8,true,2023-09-25,0
CUST-000033,30,54.53,1504.43,two-year,fiber,10,true,2023-11-20,0
CUST-000034,58,100.75,5752.63,month-to-month,dsl,1,false,2023-08-07,0
CUST-000035,8,134.31,1026.59,month-to-month,fiber,2,true,2024-07-10,1
CUST-000036,67,21.02,1440.12,two-year,none,4,true,2023-04-17,0
CUST-000037,14,135.66,1920.82,month-to-month,fiber,2,true,2024-09-11,0
CUST-000038,33,85.7,2651.82,one-year,dsl,0,false,2024-03-09,0
CUST-000039,42,120.25,5028.11,month-to-month,dsl,4,true,2024-03-28,0
CUST-000040,1,34.54,35.98,one-year,none,2,true,2025-05-04,0
CUST-000041,55,36.57,1903.22,two-year,dsl,0,true,2023-08-04,0
CUST-000042,45,121.42,5642.13,two-year,dsl,6,true,2025-02-06,0
CUST-000043,22,134.58,2675.69,month-to-month,dsl,5,true,2024-02-26,0
CUST-000044,34,40.7,1390.98,two-year,dsl,6,true,2025-05-29,0
CUST-000045,44,59.67,2676.16,month-to-month,fiber,3,true,2024-11-06,0
CUST-000046,8,145.7,1097.84,one-year,fiber,10,true,2024-11-26,1
CUST-000047,3,34.99,109.75,two-year,fiber,2,true,2023-09-29,0
CUST-000048,44,114.71,4780.0,two-year,fiber,9,true,2023-04-29,0
CUST-000049,32,25.77,796.11,two-year,dsl,8,true,2024-07-05,0
CUST-000050,25,67.35,1533.05,two-year,none,10,true,2024-09-30,0
CUST-000051,38,85.93,3265.45,month-to-month,none,5,true,2023-10-30,0
CUST-000052,48,108.05,5370.11,month-to-month,fiber,9,true,2024-02-20,0
CUST-000053,36,47.32,1733.95,month-to-month,fiber,9,true,2024-04-21,0
CUST-000054,65,81.51,5484.52,two-year,dsl,2,true,2023-10-18,0
CUST-000055,42,32.14,1407.65,two-year,none,3,true,2023-08-19,0
CUST-000056,5,51.83,251.7,month-to-month,dsl,1,true,2024-10-06,0
CUST-000057,49,84.27,3867.43,two-year,none,10,true,2025-02-07,0
CUST-000058,28,42.87,1252.81,month-to-month,fiber,8,true,2024-07-24,0
CUST-000059,17,124.18,2111.35,month-to-month,fiber,8,true,2025-02-12,1
CUST-000060,64,75.48,5004.76,two-year,none,7,true,2025-01-31,0
CUST-000061,31,129.18,3770.7,one-year,fiber,8,true,2023-09-02,0
CUST-000062,36,50.48,1727.1,month-to-month,none,8,false,2023-06-04,0
CUST-000063,27,28.35,735.7,two-year,dsl,8,true,2023-03-05,0
CUST-000064,2,131.38,266.66,one-year,fiber,6,true,2023-12-27,0
CUST-000065,68,117.18,7824.17,one-year,fiber,9,true,2024-05-14,0
CUST-000066,3,70.55,211.72,one-year,fiber,6,true,2025-05-10,0
CUST-000067,68,23.51,1533.3,month-to-month,none,9,true,2023-03-27,0
CUST-000068,23,26.54,584.09,month-to-month,fiber,3,true,2023-12-12,0
CUST-000069,53,52.8,2552.94,one-year,fiber,0,true,2023-02-23,0
CUST-000070,8,121.56,970.3,one-year,dsl,0,true,2023-07-24,0
CUST-000071,30,36.41,1092.76,two-year,dsl,9,true,2024-04-21,0
CUST-000072,14,121.11,1567.64,one-year,dsl,4,false,2023-01-27,0
CUST-000073,48,71.57,3460.27,two-year,none,1,true,2025-04-30,0
CUST-000074,38,130.54,4911.22,month-to-month,none,1,true,2024-08-02,0
CUST-000075,54,106.0,5210.81,one-year,none,10,true,2025-05-19,0
CUST-000076,55,144.9,7932.34,one-year,dsl,7,true,2024-03-21,0
CUST-000077,34,100.07,3531.48,two-year,none,7,true,2025-04-25,0
CUST-000078,31,128.0,3622.78,one-year,fiber,7,true,2024-04-20,0
CUST-000079,43,23.73,1048.6,two-year,fiber,2,true,2023-12-30,0
CUST-000080,35,92.25,3156.08,one-year,fiber,3,false,2025-01-07,0
CUST-000081,60,103.97,6073.66,two-year,dsl,0,false,2023-08-15,0
CUST-000082,47,81.52,3753.43,month-to-month,fiber,6,true,2024-07-17,0
CUST-000083,34,59.86,1902.1,two-year,fiber,3,true,2025-01-30,0
CUST-000084,24,48.13,1123.5,two-year,dsl,9,true,2024-06-21,0
CUST-000085,37,49.57,1700.05,month-to-month,dsl,0,true,2023-05-10,0
CUST-000086,37,110.66,3762.53,month-to-month,none,7,false,2023-01-13,0
CUST-000087,56,64.29,3761.62,one-year,fiber,4,true,2024-05-04,0
CUST-000088,62,29.63,1826.8,month-to-month,fiber,0,true,2025-04-10,0
CUST-000089,31,35.4,1113.5,one-year,dsl,9,true,2024-09-25,0
